Title,URL,Year,Authors
Machine Learning: A Maturing Field,https://doi.org/10.1023/a:1022665512030,1992,Jaime Carbonell
How Machine Learning Has Revolutionized the Field of Cancer Informatics?,https://doi.org/10.1007/978-981-16-5993-5_5,2022,Ahmad Abu Turab Naqvi; Syed Afzal Murtaza Rizvi; Md Imtaiyaz Hassan
Advancement of Machine Learning and Cloud Computing in the Field of Smart Health Care,https://doi.org/10.1002/9781119785873.ch11,2021,Aradhana Behura; Shibani Sahu; Manas Ranjan Kabat
Overview of Mean Field Theory and Machine Learning,https://doi.org/10.1007/978-3-031-91859-9_1,2025,Yuhan Kang; Hao Gao; Zhu Han
Machine Learning: A maturing field,https://doi.org/10.1007/bf00993251,1992,Jaime Carbonell
N/A,https://doi.org/10.1117/12.2593655.6263684995001,N/A,N/A
Application of deep learning and machine learning workflows for field-scale phenotyping,https://doi.org/10.31274/etd-20200624-18,N/A,Seyed Vahid Mirnezami
Machine Learning Algorithms Used in Medical Field with a Case Study,https://doi.org/10.1201/9781003217497-12,2022,M. Jayasanthi; R. Kalaivani
Machine Learning,https://doi.org/10.1007/978-3-658-45392-3_2,2024,Bernd Heesen
"Review for ""Benchmarking machine learning strategies for phase-field problems""",https://doi.org/10.1088/1361-651x/ad5f4a/v1/review2,2024,N/A
Optimizing Machine Learning Decisions with Prediction Uncertainty.,https://doi.org/10.2172/1888406,2021,Michael Darling; Justin Doak; Richard Field; Mark Smith
"Review for ""Benchmarking machine learning strategies for phase-field problems""",https://doi.org/10.1088/1361-651x/ad5f4a/v1/review1,2024,N/A
"Review for ""Benchmarking machine learning strategies for phase-field problems""",https://doi.org/10.1088/1361-651x/ad5f4a/v2/review1,2024,N/A
Quantum field-theoretic machine learning and the renormalization group,https://doi.org/10.23889/suthesis.60555,N/A,; Dimitrios S. Bachtis
Machine Learning Techniques to Identify Challenges in Mental Health,https://doi.org/10.1201/9781003437383-5,2025,Bandana Mahapatra; Suchit Mishra; Anand Nayyar
Machine Learning and the Role of IoT in Health Informatics,https://doi.org/10.1201/9781003424987-1,2024,Burak Taşci
Deep learning models for enhanced in-field maize leaf disease diagnosis,https://doi.org/10.1016/j.mlwa.2025.100673,2025,Joyce Nakatumba-Nabende; Sudi Murindanyi
A Method Based on Machine Learning to Classify Text for the Field of Cybersecurity,https://doi.org/10.2174/9789815305395125020003,2025,Siddharth Sriram
Intelligent Identification of Reservoir Fluid in Daniudi Gas Field Based on AdaBoost Machine Learning Algorithm,https://doi.org/10.38007/ml.2020.010303,2020,N/A
Conditional Random Field,https://doi.org/10.1007/978-0-387-30164-8_155,2011,N/A
Markov Random Field,https://doi.org/10.1007/978-0-387-30164-8_517,2011,N/A
Machine Learning Algorithms in  Reproductive Health,https://doi.org/10.1201/9781003487548-6,2024,Ananya Verma; Rajshri Singh; Sagar Barage
"Review for ""Automating field‐based floral surveys with machine learning""",https://doi.org/10.1002/2688-8319.12393/v1/review1,2024,Alicia Foxx
PPH 4.0: a privacy-preserving health 4.0 framework with machine learning and cellular automata,https://doi.org/10.1016/b978-0-443-24028-7.00002-7,2025,Arnab Mitra; Anabik Pal
"Review for ""Benchmarking machine learning strategies for phase-field problems""",https://doi.org/10.1088/1361-651x/ad5f4a/v2/review2,2024,Linyun Liang
Automated Field Boundary Detection Using Modern Machine Learning Techniques,https://doi.org/10.31274/cc-20240624-266,2020,Rishikumar Suresh kumar
"Developments, Hardships, and Prospective Directions in the Field of Neuroscience and Neurological Machine Learning for Behavioral Evaluation",https://doi.org/10.4018/979-8-3693-9341-3.ch018,2025,Ridhima Sharma; Timcy Sachdeva
Research on Student Mental Health Problems Based on Machine Learning Method,https://doi.org/10.5220/0012801400003885,2023,Jiawen Luo
Basics of Machine Learning with R,https://doi.org/10.1007/978-3-658-45392-3_6,2024,Bernd Heesen
Assessing the contribution of tumor mutational phenotypes to cancer progression risk,https://doi.org/10.1371/journal.pcbi.1008777,2021,Yifeng Tao; Ashok Rajaraman; Xiaoyue Cui; Ziyi Cui; Haoran Chen; Yuanqi Zhao; Jesse Eaton; Hannah Kim; Jian Ma; Russell Schwartz
Application of Machine Learning with R,https://doi.org/10.1007/978-3-658-45392-3_7,2024,Bernd Heesen
Forecast trend of artificial intelligence and machine learning technology: prospects and implications in the field of gastrointestinal endoscopy,https://doi.org/10.1007/s12553-025-00997-1,2025,Karakasidis Efstathios
A Machine Learning Application for Field Planning,https://doi.org/10.4043/29224-ms,2019,Amit Kumar
Role of Machine Learning in Women's Health,https://doi.org/10.1201/9781003378556-1,2023,Ritika Arora; Sharad Chauhan; Harpreet Kaur
"Review for ""Decoding lithium's subtle phase stability with a machine learning force field""",https://doi.org/10.1039/d4ta08860c/v1/review3,2025,N/A
Conditional Random Field,https://doi.org/10.1007/978-981-99-3917-6_11,2024,Hang Li
"Decision letter for ""Automating field‐based floral surveys with machine learning""",https://doi.org/10.1002/2688-8319.12393/v2/decision1,2024,N/A
Machine Learning for Health Informatics,https://doi.org/10.1007/978-3-319-50478-0_1,2016,Andreas Holzinger
"Decision letter for ""Benchmarking machine learning strategies for phase-field problems""",https://doi.org/10.1088/1361-651x/ad5f4a/v1/decision1,2024,N/A
"Review for ""Decoding lithium's subtle phase stability with a machine learning force field""",https://doi.org/10.1039/d4ta08860c/v1/review2,2025,N/A
Machine Learning for Smart Health Care,https://doi.org/10.1201/9781003104858-1,2023,Rehab A. Rayan
Mean Field Inference,https://doi.org/10.1007/978-3-030-18114-7_15,2019,David Forsyth
"Decision letter for ""Benchmarking machine learning strategies for phase-field problems""",https://doi.org/10.1088/1361-651x/ad5f4a/v2/decision1,2024,N/A
"Decision letter for ""Automating field‐based floral surveys with machine learning""",https://doi.org/10.1002/2688-8319.12393/v1/decision1,2024,N/A
Benefits of Machine Learning and Artificial Intelligence,https://doi.org/10.1007/978-3-658-45392-3_1,2024,Bernd Heesen
"Review for ""Decoding lithium's subtle phase stability with a machine learning force field""",https://doi.org/10.1039/d4ta08860c/v1/review1,2025,N/A
"Review for ""Decoding lithium's subtle phase stability with a machine learning force field""",https://doi.org/10.1039/d4ta08860c/v2/review1,2025,N/A
Reinforcement Learning-Assisted Ferroelectric Domain Wall Design Using a Machine Learning Phase-Field Surrogate,https://doi.org/10.1021/acsaelm.4c01984.s001,N/A,N/A
